                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     54,                0.74804,                0.32135,                0.87922,                0.81233,                0.65755,                0.67611,                0.56098,                0.70356,                0.28976,                  0.893,             0.00069335,             0.00069335,             0.00069335
                     55,                0.74479,                0.32251,                0.87979,                0.90136,                0.65557,                0.68503,                0.57656,                0.64573,                0.27726,                 0.8726,              0.0006792,              0.0006792,              0.0006792
                     56,                0.76145,                0.32816,                0.88819,                0.79512,                 0.6574,                0.68102,                0.57757,                0.62147,                0.27202,                0.86522,             0.00066506,             0.00066506,             0.00066506
                     57,                0.74513,                0.32102,                0.87951,                0.78852,                0.65232,                0.67896,                0.58114,                 0.6096,                0.26752,                0.86136,             0.00065091,             0.00065091,             0.00065091
                     58,                0.73494,                0.31764,                0.87839,                0.79396,                0.65594,                0.67973,                0.57929,                0.62447,                0.27023,                0.86619,             0.00063676,             0.00063676,             0.00063676
                     59,                0.73844,                 0.3207,                0.88138,                0.86201,                0.63184,                0.68288,                0.57947,                 0.6211,                0.26843,                0.86331,             0.00062262,             0.00062262,             0.00062262
                     60,                0.72559,                0.31614,                0.87569,                0.89148,                 0.6319,                0.67909,                0.57844,                0.62145,                 0.2694,                0.86399,             0.00060847,             0.00060847,             0.00060847
                     61,                0.72832,                0.31582,                0.87844,                0.82202,                0.63054,                0.67916,                0.57569,                0.63816,                0.27242,                0.86781,             0.00059432,             0.00059432,             0.00059432
                     62,                0.72333,                0.31328,                0.87525,                0.83739,                0.63368,                0.67124,                0.56375,                0.63537,                0.27106,                0.86782,             0.00058017,             0.00058017,             0.00058017
                     63,                0.72271,                0.31537,                0.87566,                 0.7891,                0.65722,                0.67799,                0.57346,                0.64465,                0.27123,                0.87176,             0.00056603,             0.00056603,             0.00056603
                     64,                0.72126,                0.31401,                0.87185,                 0.8675,                0.63054,                0.67037,                0.57754,                0.60585,                0.26488,                0.85959,             0.00055188,             0.00055188,             0.00055188
                     65,                0.71791,                0.31132,                 0.8748,                0.89417,                0.63038,                  0.683,                0.57341,                0.64295,                0.26916,                0.86897,             0.00053773,             0.00053773,             0.00053773
                     66,                 0.7187,                0.31034,                0.87254,                0.84535,                0.63138,                0.67241,                0.57282,                0.62233,                0.26452,                0.86481,             0.00052359,             0.00052359,             0.00052359
                     67,                0.70768,                0.30606,                0.86896,                0.86998,                0.62957,                0.68166,                0.57881,                0.62517,                0.26287,                0.86411,             0.00050944,             0.00050944,             0.00050944
                     68,                0.71275,                0.30547,                0.87121,                0.87632,                0.62652,                0.67418,                0.57254,                0.64426,                0.26727,                0.87092,             0.00049529,             0.00049529,             0.00049529
                     69,                0.71047,                0.30771,                0.86938,                0.89281,                0.63316,                0.68204,                0.58337,                0.60634,                0.26033,                0.85911,             0.00048114,             0.00048114,             0.00048114
                     70,                0.70758,                0.30683,                0.86857,                0.87735,                0.62787,                0.68019,                0.57962,                0.62201,                 0.2626,                0.86315,               0.000467,               0.000467,               0.000467
                     71,                 0.7044,                0.30605,                0.87188,                0.85166,                0.62875,                0.68085,                0.58069,                0.60256,                0.25957,                 0.8581,             0.00045285,             0.00045285,             0.00045285
                     72,                0.70654,                0.30593,                0.86962,                0.73935,                0.67274,                 0.6731,                0.57362,                0.60489,                0.25957,                0.85886,              0.0004387,              0.0004387,              0.0004387
                     73,                0.69484,                0.30355,                0.86666,                0.88637,                0.63009,                 0.6883,                0.58373,                0.60111,                0.25797,                0.85737,             0.00042456,             0.00042456,             0.00042456
